scene,episode,reached_A,reached_B_geometry,spl_B_geometry,len_B_geometry_m,steps_B_geometry,final_B_dist_geometry_m,geometry_active_step,geometry_matches,geometry_inliers,geometry_inlier_ratio,reached_B_advantage,spl_B_advantage,len_B_advantage_m,steps_B_advantage,final_B_dist_advantage_m,advantage_active_step
e9zR4mvMWw7,episode_0000,1.0,0.0,0.0,5.983234145990817,192,1.9091002241430766,8,52,32,0.6153846153846154,0.0,0.0,5.983234145990817,192,1.9091002241430766,8
e9zR4mvMWw7,episode_0001,1.0,1.0,0.7997295593041488,3.258931231465867,89,0.9651645366149815,8,58,35,0.603448275862069,1.0,0.5164553501540721,5.046445228547267,137,0.9728987328117084,32
rqfALeAoiTq,episode_0000,1.0,1.0,0.7403966165644978,4.458220460782873,141,0.9679847514335245,8,39,24,0.6153846153846154,0.0,0.0,12.435395920748807,333,4.661145951615231,80
rqfALeAoiTq,episode_0001,1.0,1.0,0.6442356446432564,3.189637599144586,103,0.9670846117483445,8,159,137,0.8616352201257862,1.0,0.6442356446432564,3.189637599144586,103,0.9670846117483445,8
s8pcmisQ38h,episode_0000,1.0,1.0,0.36047017415836957,7.711963915626768,232,0.9845629261101889,8,22,13,0.5909090909090909,1.0,0.45798071108977323,6.069978294837228,169,0.9659679896445867,48
s8pcmisQ38h,episode_0001,1.0,1.0,0.5863102819137128,4.7415329287062855,151,0.9841844278431071,8,90,78,0.8666666666666667,1.0,0.5863102819137128,4.7415329287062855,151,0.9841844278431071,8
yqstnuAEVhm,episode_0000,1.0,1.0,0.8719695216609415,4.602374381554078,129,0.9659785635556466,8,34,26,0.7647058823529411,1.0,0.3853939719538022,10.413059051347439,286,0.985542998514005,72
yqstnuAEVhm,episode_0001,1.0,1.0,1.0,2.8715665752152,78,0.9790251649101716,8,31,16,0.5161290322580645,1.0,0.5886013083942709,5.25318404486709,146,0.9939797941161755,40
zsNo4HB9uLZ,episode_0000,1.0,1.0,0.6050292735241832,3.950094979342514,137,0.9942992732405243,8,171,160,0.935672514619883,1.0,0.6050292735241832,3.950094979342514,137,0.9942992732405243,8
zsNo4HB9uLZ,episode_0001,0.0,0.0,0.0,0.0,0,5.026134538856643,,,,,0.0,0.0,0.0,0,5.026134538856643,
